id;section_id;label;url;sort_order;is_active;created_at;updated_at
c9fea4e1-07af-4ff9-9819-9e8bbb85ad44;5d70df03-6c5a-40a9-976c-266de9fcfcb4;The Burning Crusade;https://misti.services/game/wow-tbc-fresh;0;true;2025-11-01 21:36:53.240889+00;2026-01-12 20:38:20.185655+00
387fa584-a3be-476b-8e95-ec95fa943b09;5d70df03-6c5a-40a9-976c-266de9fcfcb4;WoW Classic Era;https://misti.services/game/wow-classic-era;5;true;2025-11-01 21:38:02.058012+00;2026-01-20 23:57:32.770673+00
15522f89-416c-413e-94d7-b8666ae698d9;07cf3db0-84d4-4c52-bea7-7fadfd943d00;About us;https://misti.services/about-us;1;true;2025-10-04 14:16:29.751369+00;2025-10-21 15:31:37.985154+00
59390764-0de2-41e8-8729-485bee7590f7;07cf3db0-84d4-4c52-bea7-7fadfd943d00;Contact us;/contact-us;4;true;2025-10-04 14:16:29.751369+00;2025-10-21 15:33:14.703609+00
3151fab8-a48a-4d23-b969-4cae0f24e20f;5d70df03-6c5a-40a9-976c-266de9fcfcb4;World of Warcraft;https://misti.services/game/warwithin;0;true;2025-10-04 14:20:14.956424+00;2025-10-21 18:41:29.302911+00
2348da61-3b82-4903-8e88-027f9d76bd03;5d70df03-6c5a-40a9-976c-266de9fcfcb4;Mists of Pandaria Classic;https://misti.services/game/wow-mistsofpandaria-classic;0;true;2025-11-01 21:37:28.348013+00;2025-11-01 21:37:28.348013+00
4ab6ad1e-ee8d-4129-aec5-e5b78c33ba89;07cf3db0-84d4-4c52-bea7-7fadfd943d00;	+1 307-683-8042 ;#;4;true;2025-11-10 13:29:25.778867+00;2025-11-10 13:29:42.185174+00
791e6b16-4c76-4778-8ffe-42890bbc710d;aad558ac-3bbf-4340-b5eb-f33112714311;FFXIV Gil;https://misti.services/game/buy-final-fantasy-gil-and-boosting/gil/buy-ffxiv-gil;0;true;2025-12-06 09:27:28.206534+00;2025-12-06 09:27:43.508387+00
514eb00d-7f6b-4eb6-8098-5d1c70a90e6c;aad558ac-3bbf-4340-b5eb-f33112714311;War Within Leveling;https://misti.services/game/warwithin/leveling-and-gearing/wow-the-war-within-leveling;0;true;2025-10-21 18:40:11.550059+00;2025-12-27 07:34:27.614393+00
7da8a27e-a107-4949-82bd-740cc618d1af;5d70df03-6c5a-40a9-976c-266de9fcfcb4;Path of Exile 2 ;https://misti.services/game/path-of-exile-2;0;true;2025-11-02 20:32:28.107624+00;2026-01-12 20:30:55.626018+00
ab0666d0-4db8-4608-82ac-8f27279c7e73;aad558ac-3bbf-4340-b5eb-f33112714311;Divine Orbs;https://misti.services/game/path-of-exile-2/currency/poe-2-divine-orbs;;true;2025-11-02 20:33:53.648629+00;2026-01-12 20:31:21.981475+00
bc655078-cb05-438b-b472-fb185bd6fcb7;aad558ac-3bbf-4340-b5eb-f33112714311;TBC Attunements ;https://misti.services/game/wow-tbc-fresh/attunements;0;true;2025-10-21 18:40:38.291796+00;2026-01-12 20:31:46.900454+00
3bbde208-644c-4192-b9b3-752cef23a7f6;5d70df03-6c5a-40a9-976c-266de9fcfcb4;Arc Raiders;https://misti.services/game/arc-raiders;0;true;2025-11-01 21:38:50.218777+00;2026-01-12 20:33:14.371895+00
38881316-2668-4de6-aa96-3c10243eec2c;aad558ac-3bbf-4340-b5eb-f33112714311;TBC Leveling;https://misti.services/game/wow-tbc-fresh/leveling/tbc-powerleveling;0;true;2025-11-20 19:32:12.978023+00;2026-01-12 20:35:31.769313+00
0a240244-7a11-404b-ad8c-c229541f9815;aad558ac-3bbf-4340-b5eb-f33112714311;EFT Leveling;https://misti.services/game/escape-from-tarkov/leveling;6;true;2025-11-02 20:33:19.213958+00;2026-01-12 20:37:48.681996+00
